sold_both_auction_private_treaty_medianprice, sa32016code, dateyear, propertycategorisation, datemonth
1025000.0,20901,2021,"House",12
2100000.0,20801,2021,"House",12
2390000.0,20701,2021,"House",12
685000.0,21301,2021,"House",12
1201000.0,20601,2021,"House",12
630000.0,21201,2021,"House",12
737500.0,21202,2021,"House",12
660000.0,21203,2021,"House",12
760000.0,21204,2021,"House",12
910000.0,20902,2021,"House",12
1545000.0,20602,2021,"House",12
1410000.0,20603,2021,"House",12
755000.0,21401,2021,"House",12
1640000.0,20802,2021,"House",12
999000.0,21302,2021,"House",12
1000000.0,21001,2021,"House",12
1170000.0,20803,2021,"House",12
910000.0,21101,2021,"House",12
915000.0,21002,2021,"House",12
1600000.0,21102,2021,"House",12
1437000.0,20702,2021,"House",12
950000.0,21303,2021,"House",12
951750.0,21103,2021,"House",12
1258000.0,20604,2021,"House",12
585000.0,21304,2021,"House",12
1325000.0,21205,2021,"House",12
783944.0,21003,2021,"House",12
1100000.0,21402,2021,"House",12
1137500.0,20903,2021,"House",12
1935000.0,20605,2021,"House",12
2300000.0,20804,2021,"House",12
2256000.0,20606,2021,"House",12
637750.0,21004,2021,"House",12
620000.0,21005,2021,"House",12
1221000.0,21104,2021,"House",12
1375000.0,20703,2021,"House",12
685000.0,20904,2021,"House",12
615000.0,21305,2021,"House",12
1488250.0,20607,2021,"House",12
820000.0,21105,2021,"House",12
1025000.0,20901,2021,"House",12
2100000.0,20801,2021,"House",12
2390000.0,20701,2021,"House",12
685000.0,21301,2021,"House",12
1201000.0,20601,2021,"House",12
630000.0,21201,2021,"House",12
737500.0,21202,2021,"House",12
660000.0,21203,2021,"House",12
760000.0,21204,2021,"House",12
910000.0,20902,2021,"House",12
1545000.0,20602,2021,"House",12
1410000.0,20603,2021,"House",12
755000.0,21401,2021,"House",12
1640000.0,20802,2021,"House",12
999000.0,21302,2021,"House",12
1000000.0,21001,2021,"House",12
1170000.0,20803,2021,"House",12
910000.0,21101,2021,"House",12
915000.0,21002,2021,"House",12
1600000.0,21102,2021,"House",12
1437000.0,20702,2021,"House",12
950000.0,21303,2021,"House",12
951750.0,21103,2021,"House",12
1258000.0,20604,2021,"House",12
585000.0,21304,2021,"House",12
1325000.0,21205,2021,"House",12
783944.0,21003,2021,"House",12
1100000.0,21402,2021,"House",12
1137500.0,20903,2021,"House",12
1935000.0,20605,2021,"House",12
2300000.0,20804,2021,"House",12
2256000.0,20606,2021,"House",12
637750.0,21004,2021,"House",12
620000.0,21005,2021,"House",12
1221000.0,21104,2021,"House",12
1375000.0,20703,2021,"House",12
685000.0,20904,2021,"House",12
615000.0,21305,2021,"House",12
1488250.0,20607,2021,"House",12
820000.0,21105,2021,"House",12
